source,weight,avg_streams,country
adult standards,1.75,1105042.7916666667,au
afrobeat,1.5,1182567.0,au
afropop,2.625,720286.4375,au
azonto,1.5,506347.75,au
blues,1.5,1182567.0,au
blues rock,1.75,892529.0,au
brazilian funk,1.3333333333333333,1065160.0,au
celtic,1.0,969175.0,au
chillwave,1.0,1771833.0,au
classic rock,1.5714285714285714,1795782.642857143,au
country,3.090909090909091,6125334.123484849,au
country pop,1.5,8049839.5,au
country rap,1.4285714285714286,892880.4285714285,au
county rock,1.5,8049839.5,au
dance,6.565217391304348,3561251.7597377365,au
dance pop,16.288888888888888,3141573.023793928,au
dancehall,2.625,819062.8125,au
deep pop r&b,1.25,2496369.875,au
disco house,3.25,553181.0,au
dubstep,3.1052631578947367,8855442.004226474,au
easy listening,1.0,1347926.6666666667,au
electro,9.9,3102932.31866131,au
electro house,4.321428571428571,5126637.176870748,au
electropop,9.925925925925926,5436265.517360755,au
emo,3.0,3163921.5,au
escape room,1.1666666666666667,1832818.5,au
europop,2.6666666666666665,1658783.3333333333,au
experimental,1.25,2206561.0,au
folk,1.0,969175.0,au
folk rock,1.0,2206561.0,au
funk,2.4285714285714284,1286993.2976190473,au
gospel,1.0,1706818.0,au
grime,5.0,2994277.413333333,au
hip hop,35.925925925925924,2063035.8375867868,au
house,5.315789473684211,4383414.046491228,au
indie,2.6363636363636362,3141891.893939394,au
indie pop,3.230769230769231,4891110.283760684,au
indie pop rap,2.0,930604.75,au
indie r&b,1.4,934549.3,au
indie rock,2.8,3430945.1666666665,au
indietronica,2.5714285714285716,1961699.9523809527,au
jazz,1.3333333333333333,886986.0,au
k-hop,1.0,353431.0,au
k-pop,1.8,766849.5,au
latin,7.0,1847206.6937229438,au
lounge,1.3333333333333333,1225738.8333333333,au
mellow gold,1.0,2206561.0,au
metal,4.0,3083607.0,au
moombahton,2.3,6472033.391666668,au
new wave,1.5,2468861.25,au
ninja,2.0,7222897.239583334,au
other,10.0,3625617.3465986396,au
pagode baiano,1.3333333333333333,1065160.0,au
pop,36.291666666666664,4207687.25226299,au
pop house,1.0,8874585.0,au
pop punk,2.0,2784488.0,au
pop rap,30.470588235294116,2808302.235170794,au
pop rock,2.0,5796887.944444444,au
psychedelic rock,1.0,2206561.0,au
punk,1.0,6967920.0,au
r&b,9.090909090909092,2601554.034820252,au
rap,39.30769230769231,2543762.8025364983,au
rap rock,3.0,3233092.0,au
reggae,1.0,1504996.0,au
reggaeton,5.333333333333333,2875412.2407407407,au
rock,3.3333333333333335,2312440.8333333335,au
soul,4.666666666666667,2397592.7619047617,au
techno,1.0,3513202.0,au
trance,1.5,2129329.0,au
trap,18.25,3306941.583333333,au
tropical,1.0,212863.0,au
