source,weight,avg_streams,country
adult standards,2.4,1293460.0833333333,ca
afrobeat,1.5,950812.0,ca
afropop,2.625,663320.3125,ca
azonto,1.5,543376.1875,ca
blues,1.5,950812.0,ca
blues rock,1.75,1183771.0,ca
brazilian funk,1.3333333333333333,993608.0,ca
celtic,1.0,1194177.0,ca
chillwave,1.0,1511861.0,ca
classic rock,1.5714285714285714,1850861.357142857,ca
classical,1.0,453844.0,ca
country,3.3043478260869565,6517884.431055901,ca
country pop,1.5,8668132.75,ca
country rap,1.5714285714285714,1758762.642857143,ca
county rock,1.6666666666666667,7175867.740740741,ca
dance,4.304347826086956,2257748.1466097306,ca
dance pop,17.591836734693878,2268986.756002072,ca
dancehall,5.642857142857143,439543.2839285714,ca
deep pop r&b,2.4166666666666665,436352.5,ca
disco house,1.0,279954.0,ca
drill,2.2,291661.4666666667,ca
dubstep,3.0454545454545454,6959491.928030303,ca
easy listening,1.4,945069.3,ca
electro,10.757575757575758,2963991.8474747473,ca
electro house,4.424242424242424,4038369.4503902663,ca
electropop,8.5,4487826.208483778,ca
emo,2.4285714285714284,3915541.8857142855,ca
escape room,2.2857142857142856,1725948.5833333335,ca
europop,2.6666666666666665,2990263.444444444,ca
experimental,1.25,2988521.0,ca
folk,1.0,1791668.142857143,ca
folk rock,1.0,2988521.0,ca
funk,1.75,366773.625,ca
gospel,1.0,659149.0,ca
grime,3.2,1971898.1,ca
hip hop,61.529411764705884,1492186.4836767565,ca
house,4.333333333333333,3309285.613906926,ca
indie,3.1818181818181817,733053.8712121212,ca
indie pop,3.6923076923076925,3618718.215534466,ca
indie pop rap,3.6,1813389.2399999998,ca
indie r&b,2.2222222222222223,510919.22222222225,ca
indie rock,3.2,2682954.0666666664,ca
indie soul,1.0,254709.0,ca
indietronica,2.5714285714285716,1841610.5571428572,ca
jazz,1.25,983827.5,ca
k-hop,1.0,387335.0,ca
k-pop,1.9166666666666667,444011.56944444444,ca
latin,15.0,2472148.8399015237,ca
lounge,1.75,1003912.0833333334,ca
mellow gold,1.0,2988521.0,ca
metal,2.5,3389971.75,ca
moombahton,3.1,3877411.0666666664,ca
new wave,1.5,1270454.25,ca
ninja,2.5,5245531.679166666,ca
other,6.555555555555555,2541427.7425925927,ca
pagode baiano,1.3333333333333333,993608.0,ca
pop,44.68,3181344.690178256,ca
pop house,1.0,2338894.0,ca
pop punk,1.5,3762987.0,ca
pop rap,58.73684210526316,2557434.171205224,ca
pop rock,2.0,1808649.9333333336,ca
psychedelic rock,1.0,2988521.0,ca
punk,1.0,1499286.0,ca
r&b,12.0,1544644.0369025175,ca
rap,63.3125,2113354.9014057163,ca
rap rock,3.0,1666870.333333333,ca
reggae,2.857142857142857,2128349.4285714286,ca
reggaeton,10.833333333333334,1729175.7928571429,ca
rock,3.2,1297196.8,ca
soca,1.0,209477.0,ca
soul,6.0,2770473.885714286,ca
techno,1.0,3159966.0,ca
trance,1.5,3524136.5,ca
trap,49.75,2938392.703091398,ca
tropical,2.6666666666666665,376535.8333333333,ca
urban contemporary,3.0,436932.33333333326,ca
