source,weight,avg_streams,country
afrofuturism,3.411764705882353,12866202.558543418,br
axe,2.8,13929504.915000001,br
bachata,1.0,2094930.0,br
bossa nova,1.0,1103917.0,br
brazilian funk,19.771428571428572,11281397.542177636,br
brega,1.5,2753223.5,br
brega funk,3.3333333333333335,29496010.861111116,br
classic rock,1.0,1447954.0,br
country,1.75,20163682.25,br
country rap,1.5,769915.0,br
cubaton,1.0,735092.0,br
dance,3.1818181818181817,9329130.656926407,br
dance pop,8.035714285714286,4101324.5132601527,br
dancehall,1.2857142857142858,4625710.0,br
deep pop r&b,1.2857142857142858,1268873.642857143,br
dubstep,1.4,9335986.733333332,br
electro,10.541666666666666,13434092.352945803,br
electro house,3.0952380952380953,9190860.36607143,br
electropop,2.0,1879341.4444444443,br
emo,4.0,1474480.0,br
europop,1.0,23277170.0,br
folk,2.375,10754303.8125,br
forro,5.166666666666667,15607161.06904762,br
funk,1.0,11820102.0,br
hip hop,17.476190476190474,6290335.405341496,br
house,2.3333333333333335,4215970.641666667,br
indie,2.0,18063467.0,br
indie pop,1.2,1829538.4,br
indie r&b,1.0,513751.0,br
indietronica,1.0,494811.0,br
k-hop,1.0,769915.0,br
k-pop,1.4444444444444444,1202409.5925925924,br
latin,9.76923076923077,5616135.6496337,br
metal,4.0,1017283.5,br
moombahton,1.5,2193754.75,br
mpb,4.714285714285714,11136666.694959803,br
new wave,1.0,1447954.0,br
other,5.666666666666667,8744475.377777778,br
pagode,7.285714285714286,11764600.328667214,br
pop,20.3,9311150.456359396,br
pop house,1.0,1190340.0,br
pop rap,4.777777777777778,6032988.731922398,br
pop rock,1.0,22215958.0,br
punk,1.0,1447954.0,br
r&b,3.4444444444444446,5647029.842857142,br
rap,6.142857142857143,4830663.703751803,br
reggae,1.0,1004167.0,br
reggaeton,8.0,6394733.125,br
rock,1.5,10246386.0,br
samba reggae,1.0,30481232.0,br
sertanejo,31.5,10793078.16935484,br
soul,1.0,4002623.5,br
trap,9.5,10492641.35,br
tropical,1.0,569086.0,br
