year,feature,energy
1980,energy,0.62576
1981,energy,0.6457890000000001
1982,energy,0.5769189
1983,energy,0.71961
1984,energy,0.67852
1985,energy,0.622315
1986,energy,0.6800700000000001
1987,energy,0.6816200000000001
1988,energy,0.630131
1989,energy,0.609432
1990,energy,0.6485110000000001
1991,energy,0.66523
1992,energy,0.63061
1993,energy,0.5962
1994,energy,0.6156332
1995,energy,0.6683969999999999
1996,energy,0.63784
1997,energy,0.6707810000000001
1998,energy,0.670703
1999,energy,0.74104
2000,energy,0.694674
2001,energy,0.70292
2002,energy,0.70575
2003,energy,0.74142
2004,energy,0.72045
2005,energy,0.71061
2006,energy,0.69624
2007,energy,0.7149727
2008,energy,0.708522
2009,energy,0.712659
2010,energy,0.7297199999999999
2011,energy,0.656164
2012,energy,0.66079
2013,energy,0.6556000000000001
2014,energy,0.62701
2015,energy,0.57989
2016,energy,0.576447
2017,energy,0.5683242
2018,energy,0.57099
2019,energy,0.546457
2020,energy,0.591367
1980,acousticness,0.250172262
1981,acousticness,0.2136196619
1982,acousticness,0.24916920999999997
1983,acousticness,0.15877754
1984,acousticness,0.183325068
1985,acousticness,0.2656567696
1986,acousticness,0.205751787
1987,acousticness,0.17012757
1988,acousticness,0.196345862
1989,acousticness,0.25301745150000005
1990,acousticness,0.214007578
1991,acousticness,0.1990719759
1992,acousticness,0.2372748899
1993,acousticness,0.18414340410000002
1994,acousticness,0.256649477
1995,acousticness,0.180162516
1996,acousticness,0.20276384
1997,acousticness,0.1601273281
1998,acousticness,0.204128981
1999,acousticness,0.141184418
2000,acousticness,0.18147343
2001,acousticness,0.184545493
2002,acousticness,0.19787678209999998
2003,acousticness,0.1670258
2004,acousticness,0.183015234
2005,acousticness,0.163567544
2006,acousticness,0.20515440999999998
2007,acousticness,0.16913256100000001
2008,acousticness,0.160540498
2009,acousticness,0.18652729
2010,acousticness,0.173380111
2011,acousticness,0.22651667
2012,acousticness,0.181610081
2013,acousticness,0.22571805
2014,acousticness,0.2469680653
2015,acousticness,0.25331331
2016,acousticness,0.24327500000000002
2017,acousticness,0.29297431
2018,acousticness,0.28141351
2019,acousticness,0.32768684299999995
2020,acousticness,0.28117757
1980,danceability,0.6177600000000001
1981,danceability,0.58826
1982,danceability,0.60814
1983,danceability,0.58152
1984,danceability,0.5890299999999999
1985,danceability,0.61482
1986,danceability,0.5855400000000001
1987,danceability,0.57679
1988,danceability,0.6015
1989,danceability,0.60754
1990,danceability,0.55996
1991,danceability,0.58582
1992,danceability,0.58385
1993,danceability,0.63046
1994,danceability,0.5704899999999999
1995,danceability,0.60278
1996,danceability,0.6290100000000001
1997,danceability,0.5897399999999999
1998,danceability,0.62538
1999,danceability,0.64066
2000,danceability,0.60466
2001,danceability,0.6116
2002,danceability,0.62009
2003,danceability,0.60374
2004,danceability,0.60838
2005,danceability,0.63295
2006,danceability,0.58134
2007,danceability,0.61535
2008,danceability,0.63681
2009,danceability,0.61507
2010,danceability,0.62548
2011,danceability,0.59075
2012,danceability,0.60444
2013,danceability,0.59229
2014,danceability,0.6282
2015,danceability,0.6060300000000001
2016,danceability,0.6369
2017,danceability,0.67123
2018,danceability,0.68259
2019,danceability,0.6319899999999999
2020,danceability,0.667755
1980,instrumentalness,0.0508469849
1981,instrumentalness,0.055966309
1982,instrumentalness,0.089453035
1983,instrumentalness,0.0429399034
1984,instrumentalness,0.0375656923
1985,instrumentalness,0.049164464299999995
1986,instrumentalness,0.08452406269999999
1987,instrumentalness,0.032742415399999995
1988,instrumentalness,0.034472582599999996
1989,instrumentalness,0.07122657839999999
1990,instrumentalness,0.0710363846
1991,instrumentalness,0.045966114100000004
1992,instrumentalness,0.030280601199999996
1993,instrumentalness,0.0888790543
1994,instrumentalness,0.0368694944
1995,instrumentalness,0.06261639299999999
1996,instrumentalness,0.046445355900000006
1997,instrumentalness,0.048397852500000005
1998,instrumentalness,0.0883755734
1999,instrumentalness,0.016212969100000002
2000,instrumentalness,0.0324136093
2001,instrumentalness,0.0530842203
2002,instrumentalness,0.019807414000000002
2003,instrumentalness,0.0313404454
2004,instrumentalness,0.010084832299999999
2005,instrumentalness,0.0104559681
2006,instrumentalness,0.0058722288000000004
2007,instrumentalness,0.037895497699999996
2008,instrumentalness,0.0174155257
2009,instrumentalness,0.0199902411
2010,instrumentalness,0.0281182756
2011,instrumentalness,0.0296805619
2012,instrumentalness,0.059037745399999994
2013,instrumentalness,0.057607998199999996
2014,instrumentalness,0.035535096
2015,instrumentalness,0.043650339899999994
2016,instrumentalness,0.0128855738
2017,instrumentalness,0.0508108133
2018,instrumentalness,0.0325543592
2019,instrumentalness,0.0647496381
2020,instrumentalness,0.0267411001
1980,liveness,0.18623699999999999
1981,liveness,0.189464
1982,liveness,0.176934
1983,liveness,0.16354
1984,liveness,0.16608499999999998
1985,liveness,0.168063
1986,liveness,0.168156
1987,liveness,0.170092
1988,liveness,0.177314
1989,liveness,0.170868
1990,liveness,0.174504
1991,liveness,0.176526
1992,liveness,0.16710899999999998
1993,liveness,0.171705
1994,liveness,0.175401
1995,liveness,0.204204
1996,liveness,0.18184899999999998
1997,liveness,0.170165
1998,liveness,0.21588100000000002
1999,liveness,0.189081
2000,liveness,0.20189800000000002
2001,liveness,0.19462800000000002
2002,liveness,0.174818
2003,liveness,0.17461
2004,liveness,0.210269
2005,liveness,0.20521999999999999
2006,liveness,0.17779399999999998
2007,liveness,0.19477699999999998
2008,liveness,0.185147
2009,liveness,0.20829799999999998
2010,liveness,0.210984
2011,liveness,0.18384499999999998
2012,liveness,0.19727799999999998
2013,liveness,0.19191300000000003
2014,liveness,0.182948
2015,liveness,0.159328
2016,liveness,0.16709800000000002
2017,liveness,0.146723
2018,liveness,0.185749
2019,liveness,0.175758
2020,liveness,0.088081
1980,mode,0.83
1981,mode,0.68
1982,mode,0.64
1983,mode,0.71
1984,mode,0.8
1985,mode,0.74
1986,mode,0.68
1987,mode,0.82
1988,mode,0.82
1989,mode,0.69
1990,mode,0.74
1991,mode,0.65
1992,mode,0.76
1993,mode,0.78
1994,mode,0.7
1995,mode,0.7
1996,mode,0.66
1997,mode,0.77
1998,mode,0.73
1999,mode,0.66
2000,mode,0.64
2001,mode,0.65
2002,mode,0.65
2003,mode,0.6
2004,mode,0.63
2005,mode,0.63
2006,mode,0.64
2007,mode,0.65
2008,mode,0.61
2009,mode,0.7
2010,mode,0.65
2011,mode,0.53
2012,mode,0.64
2013,mode,0.67
2014,mode,0.68
2015,mode,0.59
2016,mode,0.68
2017,mode,0.54
2018,mode,0.55
2019,mode,0.63
2020,mode,0.61
1980,speechiness,0.045763
1981,speechiness,0.047758
1982,speechiness,0.048369000000000004
1983,speechiness,0.063202
1984,speechiness,0.048912
1985,speechiness,0.045171
1986,speechiness,0.061573
1987,speechiness,0.052926
1988,speechiness,0.072896
1989,speechiness,0.056152
1990,speechiness,0.066365
1991,speechiness,0.06253
1992,speechiness,0.073856
1993,speechiness,0.083378
1994,speechiness,0.07083400000000001
1995,speechiness,0.07538299999999999
1996,speechiness,0.090853
1997,speechiness,0.07600799999999999
1998,speechiness,0.108281
1999,speechiness,0.12094100000000001
2000,speechiness,0.076923
2001,speechiness,0.085906
2002,speechiness,0.08449899999999999
2003,speechiness,0.10478199999999999
2004,speechiness,0.103994
2005,speechiness,0.10617599999999999
2006,speechiness,0.070174
2007,speechiness,0.09937099999999999
2008,speechiness,0.068131
2009,speechiness,0.08491699999999999
2010,speechiness,0.087984
2011,speechiness,0.10618
2012,speechiness,0.086115
2013,speechiness,0.087852
2014,speechiness,0.084881
2015,speechiness,0.088543
2016,speechiness,0.094764
2017,speechiness,0.11958099999999999
2018,speechiness,0.13478099999999998
2019,speechiness,0.126429
2020,speechiness,0.12187300000000001
1980,valence,0.6856099999999999
1981,valence,0.6625700000000001
1982,valence,0.617455
1983,valence,0.623832
1984,valence,0.66494
1985,valence,0.6448999999999999
1986,valence,0.623636
1987,valence,0.62424
1988,valence,0.588696
1989,valence,0.5890299999999999
1990,valence,0.5447
1991,valence,0.570558
1992,valence,0.59443
1993,valence,0.579522
1994,valence,0.600676
1995,valence,0.5658299999999999
1996,valence,0.58183
1997,valence,0.582499
1998,valence,0.576663
1999,valence,0.636309
2000,valence,0.566135
2001,valence,0.592424
2002,valence,0.5577000000000001
2003,valence,0.579153
2004,valence,0.583507
2005,valence,0.536052
2006,valence,0.54728
2007,valence,0.5575
2008,valence,0.5434640000000001
2009,valence,0.527784
2010,valence,0.536947
2011,valence,0.484367
2012,valence,0.447673
2013,valence,0.47814799999999996
2014,valence,0.45582900000000004
2015,valence,0.3842951
2016,valence,0.446558
