year,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
1980,0.62576,0.18623699999999999,123.39947000000001,0.049763,0.250172262,0.0508469849,3.98,0.6177600000000001,4.71,244404.95,-9.66187,0.6856099999999999,0.83
1981,0.6457890000000001,0.189464,129.39469,0.047758,0.2136196619,0.055966309,3.97,0.58826,4.93,233342.02,-9.55619,0.6625700000000001,0.68
1982,0.5769189,0.176934,121.71896999999998,0.050369000000000004,0.24916920999999997,0.089453035,3.88,0.60814,5.32,254497.34,-11.06137,0.617455,0.64
1983,0.71961,0.16354,122.32854999999999,0.063202,0.15877754,0.0429399034,3.97,0.58152,5.29,252199.76,-8.18468,0.623832,0.71
1984,0.67852,0.16608499999999998,124.66968999999999,0.048912,0.183325068,0.0375656923,3.98,0.5890299999999999,5.06,250785.18,-8.78242,0.66494,0.8
1985,0.622315,0.168063,125.08670000000001,0.045171,0.2656567696,0.049164464299999995,3.95,0.61482,5.87,252917.21,-10.66797,0.6448999999999999,0.74
1986,0.6800700000000001,0.168156,121.16892,0.061573,0.205751787,0.08452406269999999,3.96,0.5855400000000001,5.6,249523.16,-9.69033,0.623636,0.68
1987,0.6816200000000001,0.170092,123.86596,0.052926,0.17012757,0.032742415399999995,3.94,0.57679,5.21,252685.09,-9.20663,0.62424,0.82
1988,0.630131,0.177314,114.53264999999999,0.072896,0.196345862,0.034472582599999996,3.95,0.6015,5.53,265091.67,-10.20197,0.588696,0.82
1989,0.609432,0.170868,122.86161,0.056152,0.25301745150000005,0.07122657839999999,3.96,0.60754,5.5,244485.82,-10.41157,0.5890299999999999,0.69
1990,0.6485110000000001,0.174504,116.36986,0.066365,0.214007578,0.0710363846,3.96,0.55996,4.95,254487.12,-9.48688,0.5447,0.74
1991,0.66523,0.176526,118.64493,0.06253,0.1990719759,0.045966114100000004,3.96,0.58582,5.84,257222.34,-9.16183,0.570558,0.65
1992,0.63061,0.16710899999999998,122.31917,0.073856,0.2372748899,0.030280601199999996,3.79,0.58385,4.89,242229.04,-8.85426,0.59443,0.76
1993,0.5962,0.171705,120.34603999999999,0.083378,0.18414340410000002,0.0888790543,3.92,0.63046,5.33,242003.19,-9.87274,0.579522,0.78
1994,0.6156332,0.175401,118.50859,0.07083400000000001,0.256649477,0.0368694944,3.87,0.5704899999999999,5.75,243592.14,-8.86983,0.600676,0.7
1995,0.6683969999999999,0.204204,117.40526,0.07538299999999999,0.180162516,0.06261639299999999,3.98,0.60278,5.32,240449.91,-7.9360800000000005,0.5658299999999999,0.7
