source,weight,avg_streams,country
afropop,1.0,16299078.0,fr
azonto,3.0,7062660.666666668,fr
chanson,4.1,3618631.2,fr
classic rock,1.0,360100.0,fr
country,1.75,14787306.75,fr
country rap,1.2,1381099.4,fr
dance,8.347826086956522,5320557.139008093,fr
dance pop,13.837837837837839,4031667.1777505246,fr
dancehall,1.5714285714285714,4900146.166666666,fr
deep pop r&b,1.3333333333333333,1225815.0,fr
dembow,1.3636363636363635,8990309.0,fr
disco house,4.5,1433818.7708333333,fr
dubstep,2.6363636363636362,4466633.037878788,fr
electro,12.75,5656887.060219472,fr
electro house,3.7083333333333335,5892264.831481482,fr
electropop,7.055555555555555,4804094.108024691,fr
emo,2.5,6532028.458333333,fr
escape room,1.0,701750.0,fr
europop,1.3333333333333333,9511501.166666666,fr
experimental,1.25,360100.0,fr
folk rock,1.0,360100.0,fr
francoton,21.7,1957711.6661542598,fr
funk,1.0,1960164.0,fr
hip hop,37.1875,5831571.334205282,fr
house,7.5,7171207.742017704,fr
indie pop,2.7142857142857144,2647433.5119047617,fr
indie r&b,1.5,1129395.5,fr
indie soul,1.0,1418654.0,fr
indietronica,1.5,3915881.0,fr
j-pop,2.0,1957586.0,fr
j-rap,2.0,1957586.0,fr
jazz,1.7142857142857142,753354.2142857143,fr
k-hop,1.0,341189.0,fr
k-pop,1.3333333333333333,741901.3333333334,fr
latin,13.076923076923077,9069184.263034187,fr
mellow gold,1.0,360100.0,fr
metal,5.5,4407864.5,fr
moombahton,3.9,7649347.18888889,fr
new wave,1.0,11102520.0,fr
ninja,3.875,7314106.736111111,fr
other,5.833333333333333,2815846.933760684,fr
pop,41.291666666666664,5117161.363355472,fr
pop house,1.0,4156029.0,fr
pop punk,2.0,7096888.5,fr
pop rap,9.5,3913725.5979047255,fr
pop rock,1.0,2365604.0,fr
psychedelic rock,1.0,360100.0,fr
r&b,3.0,1081622.3775510204,fr
rai,2.0,1311716.5,fr
rap,24.3,4335984.914598773,fr
reggae,1.6666666666666667,18946581.666666668,fr
reggaeton,11.0,6684682.865476191,fr
rock,2.3333333333333335,2052057.3333333333,fr
soul,1.5,4848195.75,fr
trance,2.0,3586931.0,fr
trap,4.666666666666667,4125271.7777777775,fr
tropical,3.0,8282134.833333333,fr
variete francaise,2.0,953262.0,fr
