source,weight,avg_streams,country
adult standards,1.8888888888888888,2246533.6944444445,gb
afrobeat,1.5,971224.0,gb
afropop,2.769230769230769,1751228.4525641026,gb
azonto,2.0,2730020.7666666666,gb
blues,1.5,971224.0,gb
brazilian funk,1.3333333333333333,1057812.0,gb
celtic,1.0,10688162.0,gb
chillwave,1.0,380402.3333333333,gb
classic rock,1.3333333333333333,7379979.333333333,gb
classical,1.0,1935668.0,gb
country,2.7222222222222223,4503600.4626543205,gb
country rap,1.4285714285714286,1386705.7142857143,gb
county rock,1.0,2269404.0,gb
dance,9.0,8654377.058315018,gb
dance pop,18.448979591836736,5876747.174559287,gb
dancehall,8.105263157894736,5748622.43081895,gb
deep pop r&b,1.0,6150952.0,gb
disco house,3.4,5642494.143809523,gb
drill,12.307692307692308,3849956.7274294337,gb
dubstep,2.789473684210526,12793125.49736842,gb
easy listening,1.0,1843230.0,gb
electro,9.885714285714286,6414258.830132275,gb
electro house,4.555555555555555,7352607.0199612435,gb
electropop,5.8,5369347.455731708,gb
emo,3.0,10458506.375,gb
escape room,1.4,1308551.4,gb
europop,2.3333333333333335,2705095.611111111,gb
experimental,1.25,7525596.0,gb
folk,1.75,4847813.291666666,gb
folk rock,1.0,7525596.0,gb
funk,2.0,5391096.156410256,gb
gospel,1.0,799569.0,gb
grime,23.53846153846154,5841078.648618049,gb
hip hop,37.642857142857146,3092349.0830793753,gb
house,7.9523809523809526,8122766.895159074,gb
indie,2.4285714285714284,1943198.107142857,gb
indie jazz,1.0,415802.0,gb
indie pop,3.1666666666666665,5965657.032638889,gb
indie r&b,3.0,761417.8958333333,gb
indie rock,2.75,1922984.2083333333,gb
indie soul,2.4,712128.5166666667,gb
indietronica,2.5714285714285716,1829464.0,gb
jazz,1.3333333333333333,1377847.0,gb
k-hop,1.0,538252.0,gb
k-pop,1.8,1041035.2,gb
latin,6.846153846153846,3653063.267107892,gb
lounge,1.3333333333333333,2070569.1666666667,gb
mellow gold,1.5,6009299.25,gb
metal,2.0,1831856.125,gb
moombahton,2.2,4985831.15,gb
new wave,1.5,9679095.5,gb
ninja,1.875,5669427.6875,gb
other,11.555555555555555,5527997.978571429,gb
pagode baiano,1.3333333333333333,1057812.0,gb
pop,37.34782608695652,6812639.608810448,gb
pop house,3.0,16306438.5,gb
pop punk,2.0,10845712.0,gb
pop rap,24.944444444444443,4818368.642070472,gb
pop rock,1.6666666666666667,5327507.888888889,gb
psychedelic rock,1.0,7525596.0,gb
punk,1.0,6651896.0,gb
r&b,8.727272727272727,3000793.713322884,gb
rap,28.142857142857142,3308835.929618472,gb
rap rock,3.0,2182824.333333333,gb
reggae,1.0,3532048.3333333335,gb
reggaeton,4.75,4121399.5,gb
rock,3.5,6419778.9,gb
soul,4.0,5987667.366666667,gb
synthpop,1.0,380406.0,gb
techno,1.0,2525552.0,gb
trance,2.0,8581011.0,gb
trap,16.25,4524024.111111111,gb
tropical,1.0,4925215.0,gb
urban contemporary,2.0,447515.5,gb
