genre,weight,avg_streams,country
afrofuturism,3.411764705882353,12866202.558543418,br
axe,2.8,13929504.915000001,br
bachata,1.0,2094930.0,br
bossa nova,1.0,1103917.0,br
brazilian funk,19.771428571428572,11281397.542177636,br
brega,1.5,2753223.5,br
brega funk,3.3333333333333335,29496010.861111116,br
classic rock,1.0,1447954.0,br
country,1.75,20163682.25,br
country rap,1.5,769915.0,br
cubaton,1.0,735092.0,br
dance,3.1818181818181817,9329130.656926407,br
dance pop,8.035714285714286,4101324.5132601527,br
dancehall,1.2857142857142858,4625710.0,br
deep pop r&b,1.2857142857142858,1268873.642857143,br
dubstep,1.4,9335986.733333332,br
electro,10.541666666666666,13434092.352945803,br
electro house,3.0952380952380953,9190860.36607143,br
electropop,2.0,1879341.4444444443,br
emo,4.0,1474480.0,br
europop,1.0,23277170.0,br
folk,2.375,10754303.8125,br
forro,5.166666666666667,15607161.06904762,br
funk,1.0,11820102.0,br
hip hop,17.476190476190474,6290335.405341496,br
house,2.3333333333333335,4215970.641666667,br
indie,2.0,18063467.0,br
indie pop,1.2,1829538.4,br
indie r&b,1.0,513751.0,br
indietronica,1.0,494811.0,br
k-hop,1.0,769915.0,br
k-pop,1.4444444444444444,1202409.5925925924,br
latin,9.76923076923077,5616135.6496337,br
metal,4.0,1017283.5,br
moombahton,1.5,2193754.75,br
mpb,4.714285714285714,11136666.694959803,br
new wave,1.0,1447954.0,br
other,5.666666666666667,8744475.377777778,br
pagode,7.285714285714286,11764600.328667214,br
pop,20.3,9311150.456359396,br
pop house,1.0,1190340.0,br
pop rap,4.777777777777778,6032988.731922398,br
pop rock,1.0,22215958.0,br
punk,1.0,1447954.0,br
r&b,3.4444444444444446,5647029.842857142,br
rap,6.142857142857143,4830663.703751803,br
reggae,1.0,1004167.0,br
reggaeton,8.0,6394733.125,br
rock,1.5,10246386.0,br
samba reggae,1.0,30481232.0,br
sertanejo,31.5,10793078.16935484,br
soul,1.0,4002623.5,br
trap,9.5,10492641.35,br
tropical,1.0,569086.0,br
tropical house,1.0,2508842.0,br
adult standards,1.75,1105042.7916666667,au
afrobeat,1.5,1182567.0,au
afropop,2.625,720286.4375,au
azonto,1.5,506347.75,au
blues,1.5,1182567.0,au
blues rock,1.75,892529.0,au
brazilian funk,1.3333333333333333,1065160.0,au
celtic,1.0,969175.0,au
chillwave,1.0,1771833.0,au
classic rock,1.5714285714285714,1795782.642857143,au
country,3.090909090909091,6125334.123484849,au
country pop,1.5,8049839.5,au
country rap,1.4285714285714286,892880.4285714285,au
county rock,1.5,8049839.5,au
dance,6.565217391304348,3561251.7597377365,au
dance pop,16.288888888888888,3141573.023793928,au
dancehall,2.625,819062.8125,au
deep pop r&b,1.25,2496369.875,au
disco house,3.25,553181.0,au
dubstep,3.1052631578947367,8855442.004226474,au
easy listening,1.0,1347926.6666666667,au
electro,9.9,3102932.31866131,au
electro house,4.321428571428571,5126637.176870748,au
electropop,9.925925925925926,5436265.517360755,au
emo,3.0,3163921.5,au
escape room,1.1666666666666667,1832818.5,au
europop,2.6666666666666665,1658783.3333333333,au
experimental,1.25,2206561.0,au
folk,1.0,969175.0,au
folk rock,1.0,2206561.0,au
funk,2.4285714285714284,1286993.2976190473,au
gospel,1.0,1706818.0,au
grime,5.0,2994277.413333333,au
hip hop,35.925925925925924,2063035.8375867868,au
house,5.315789473684211,4383414.046491228,au
indie,2.6363636363636362,3141891.893939394,au
indie pop,3.230769230769231,4891110.283760684,au
indie pop rap,2.0,930604.75,au
indie r&b,1.4,934549.3,au
indie rock,2.8,3430945.1666666665,au
indietronica,2.5714285714285716,1961699.9523809527,au
jazz,1.3333333333333333,886986.0,au
k-hop,1.0,353431.0,au
k-pop,1.8,766849.5,au
latin,7.0,1847206.6937229438,au
lounge,1.3333333333333333,1225738.8333333333,au
mellow gold,1.0,2206561.0,au
metal,4.0,3083607.0,au
moombahton,2.3,6472033.391666668,au
new wave,1.5,2468861.25,au
ninja,2.0,7222897.239583334,au
other,10.0,3625617.3465986396,au
pagode baiano,1.3333333333333333,1065160.0,au
pop,36.291666666666664,4207687.25226299,au
pop house,1.0,8874585.0,au
pop punk,2.0,2784488.0,au
pop rap,30.470588235294116,2808302.235170794,au
pop rock,2.0,5796887.944444444,au
psychedelic rock,1.0,2206561.0,au
punk,1.0,6967920.0,au
r&b,9.090909090909092,2601554.034820252,au
rap,39.30769230769231,2543762.8025364983,au
rap rock,3.0,3233092.0,au
reggae,1.0,1504996.0,au
reggaeton,5.333333333333333,2875412.2407407407,au
rock,3.3333333333333335,2312440.8333333335,au
soul,4.666666666666667,2397592.7619047617,au
techno,1.0,3513202.0,au
trance,1.5,2129329.0,au
trap,18.25,3306941.583333333,au
tropical,1.0,212863.0,au
tropical house,7.333333333333333,4288412.488888889,au
adult standards,2.4,1293460.0833333333,ca
afrobeat,1.5,950812.0,ca
afropop,2.625,663320.3125,ca
azonto,1.5,543376.1875,ca
blues,1.5,950812.0,ca
blues rock,1.75,1183771.0,ca
brazilian funk,1.3333333333333333,993608.0,ca
celtic,1.0,1194177.0,ca
chillwave,1.0,1511861.0,ca
classic rock,1.5714285714285714,1850861.357142857,ca
classical,1.0,453844.0,ca
country,3.3043478260869565,6517884.431055901,ca
country pop,1.5,8668132.75,ca
country rap,1.5714285714285714,1758762.642857143,ca
county rock,1.6666666666666667,7175867.740740741,ca
dance,4.304347826086956,2257748.1466097306,ca
dance pop,17.591836734693878,2268986.756002072,ca
dancehall,5.642857142857143,439543.2839285714,ca
deep pop r&b,2.4166666666666665,436352.5,ca
disco house,1.0,279954.0,ca
drill,2.2,291661.4666666667,ca
dubstep,3.0454545454545454,6959491.928030303,ca
easy listening,1.4,945069.3,ca
electro,10.757575757575758,2963991.8474747473,ca
electro house,4.424242424242424,4038369.4503902663,ca
electropop,8.5,4487826.208483778,ca
emo,2.4285714285714284,3915541.8857142855,ca
escape room,2.2857142857142856,1725948.5833333335,ca
europop,2.6666666666666665,2990263.444444444,ca
experimental,1.25,2988521.0,ca
folk,1.0,1791668.142857143,ca
folk rock,1.0,2988521.0,ca
funk,1.75,366773.625,ca
gospel,1.0,659149.0,ca
grime,3.2,1971898.1,ca
hip hop,61.529411764705884,1492186.4836767565,ca
house,4.333333333333333,3309285.613906926,ca
indie,3.1818181818181817,733053.8712121212,ca
indie pop,3.6923076923076925,3618718.215534466,ca
indie pop rap,3.6,1813389.2399999998,ca
indie r&b,2.2222222222222223,510919.22222222225,ca
indie rock,3.2,2682954.0666666664,ca
indie soul,1.0,254709.0,ca
indietronica,2.5714285714285716,1841610.5571428572,ca
jazz,1.25,983827.5,ca
k-hop,1.0,387335.0,ca
k-pop,1.9166666666666667,444011.56944444444,ca
latin,15.0,2472148.8399015237,ca
lounge,1.75,1003912.0833333334,ca
mellow gold,1.0,2988521.0,ca
metal,2.5,3389971.75,ca
moombahton,3.1,3877411.0666666664,ca
new wave,1.5,1270454.25,ca
ninja,2.5,5245531.679166666,ca
other,6.555555555555555,2541427.7425925927,ca
pagode baiano,1.3333333333333333,993608.0,ca
pop,44.68,3181344.690178256,ca
pop house,1.0,2338894.0,ca
pop punk,1.5,3762987.0,ca
pop rap,58.73684210526316,2557434.171205224,ca
