,genre,avg_streams,country
0,afrofuturism,12866202.558543418,br
1,axe,13929504.915,br
2,bachata,2094930.0,br
3,bossa nova,1103917.0,br
4,brazilian funk,11281397.542177636,br
5,brega,2753223.5,br
6,brega funk,29496010.86111112,br
7,classic rock,1447954.0,br
8,country,20163682.25,br
9,country rap,769915.0,br
10,cubaton,735092.0,br
11,dance,9329130.656926408,br
12,dance pop,4101324.5132601527,br
13,dancehall,4625710.0,br
14,deep pop r&b,1268873.642857143,br
15,dubstep,9335986.733333332,br
16,electro,13434092.352945805,br
17,electro house,9190860.36607143,br
18,electropop,1879341.4444444445,br
19,emo,1474480.0,br
20,europop,23277170.0,br
21,folk,10754303.8125,br
22,forro,15607161.06904762,br
23,funk,11820102.0,br
24,hip hop,6290335.405341496,br
25,house,4215970.641666667,br
26,indie,18063467.0,br
27,indie pop,1829538.4,br
28,indie r&b,513751.0,br
29,indietronica,494811.0,br
30,k-hop,769915.0,br
31,k-pop,1202409.5925925924,br
32,latin,5616135.6496337,br
33,metal,1017283.5,br
34,moombahton,2193754.75,br
35,mpb,11136666.694959804,br
36,new wave,1447954.0,br
37,other,8744475.377777778,br
38,pagode,11764600.328667214,br
39,pop,9311150.456359396,br
40,pop house,1190340.0,br
41,pop rap,6032988.731922398,br
42,pop rock,22215958.0,br
43,punk,1447954.0,br
44,r&b,5647029.842857142,br
45,rap,4830663.703751803,br
46,reggae,1004167.0,br
47,reggaeton,6394733.125,br
48,rock,10246386.0,br
49,samba reggae,30481232.0,br
50,sertanejo,10793078.16935484,br
51,soul,4002623.5,br
52,trap,10492641.35,br
53,tropical,569086.0,br
54,tropical house,2508842.0,br
55,adult standards,1105042.7916666667,au
56,afrobeat,1182567.0,au
57,afropop,720286.4375,au
58,azonto,506347.75,au
59,blues,1182567.0,au
60,blues rock,892529.0,au
61,brazilian funk,1065160.0,au
62,celtic,969175.0,au
63,chillwave,1771833.0,au
64,classic rock,1795782.642857143,au
65,country,6125334.123484849,au
66,country pop,8049839.5,au
67,country rap,892880.4285714285,au
68,county rock,8049839.5,au
69,dance,3561251.7597377365,au
70,dance pop,3141573.023793928,au
71,dancehall,819062.8125,au
72,deep pop r&b,2496369.875,au
73,disco house,553181.0,au
74,dubstep,8855442.004226474,au
75,easy listening,1347926.6666666667,au
76,electro,3102932.31866131,au
77,electro house,5126637.176870748,au
78,electropop,5436265.517360755,au
79,emo,3163921.5,au
80,escape room,1832818.5,au
81,europop,1658783.3333333333,au
82,experimental,2206561.0,au
83,folk,969175.0,au
84,folk rock,2206561.0,au
85,funk,1286993.297619047,au
86,gospel,1706818.0,au
87,grime,2994277.413333333,au
88,hip hop,2063035.8375867868,au
89,house,4383414.046491228,au
90,indie,3141891.893939394,au
91,indie pop,4891110.283760684,au
92,indie pop rap,930604.75,au
93,indie r&b,934549.3,au
94,indie rock,3430945.1666666665,au
95,indietronica,1961699.952380953,au
96,jazz,886986.0,au
97,k-hop,353431.0,au
98,k-pop,766849.5,au
99,latin,1847206.693722944,au
100,lounge,1225738.8333333333,au
101,mellow gold,2206561.0,au
102,metal,3083607.0,au
103,moombahton,6472033.391666668,au
104,new wave,2468861.25,au
105,ninja,7222897.239583334,au
106,other,3625617.34659864,au
107,pagode baiano,1065160.0,au
108,pop,4207687.25226299,au
109,pop house,8874585.0,au
110,pop punk,2784488.0,au
