source,weight,avg_streams
adult standards,1.8,6561658.9
afrobeat,1.5,5136281.0
afropop,2.3333333333333335,3990479.0555555555
azonto,1.1666666666666667,4627841.0
bachata,1.0,3053513.0
blues,1.5,5136281.0
blues rock,1.75,2259513.0
brazilian funk,1.3333333333333333,5925788.0
celtic,1.0,2379926.0
classic rock,1.5714285714285714,6024141.0
classical,1.0,8891041.0
country,3.347826086956522,32444614.379503105
country pop,1.5,36683940.75
country rap,1.5,18930253.0625
county rock,1.7777777777777777,28576902.75
dance,2.55,11081618.254166666
dance pop,14.46808510638298,12747065.850299496
dancehall,2.272727272727273,2601505.242424242
deep pop r&b,2.5555555555555554,3463064.611111111
dembow,1.3636363636363635,1835132.0
disco,1.0,1540968.0
disco house,1.0,1608155.0
drill,3.8181818181818183,2156621.6536796535
dubstep,3.0384615384615383,21695612.466025643
easy listening,1.25,6083483.125
electro,7.67741935483871,11095813.51020619
electro house,3.870967741935484,20820501.6191733
electropop,8.038461538461538,21167585.292778056
emo,2.5714285714285716,18892197.95238095
escape room,4.090909090909091,4377511.616666666
europop,2.3333333333333335,4565902.0
experimental,1.25,12927022.0
folk,1.2857142857142858,3372522.714285714
folk rock,1.0,12927022.0
gospel,1.5555555555555556,2496106.5555555555
grime,2.6,6915821.966666666
hip hop,87.90625,9260181.531694002
house,3.8095238095238093,12239426.94077272
indie,3.7142857142857144,7336139.059523809
indie pop,3.5833333333333335,24760579.49107143
indie pop rap,4.0,9391342.066666666
indie r&b,2.0,3101937.9285714286
indie rock,3.6,9936509.283333335
indie soul,2.5,1940842.6875
indietronica,2.142857142857143,9553788.714285715
jazz,1.25,10640509.0
k-hop,2.25,1857168.625
k-pop,1.6,5641201.0666666655
latin,29.8125,14117593.842238175
lounge,1.25,5390239.875
mellow gold,1.0,12927022.0
metal,3.0,22862690.0
moombahton,3.230769230769231,12909557.21923077
new wave,1.5,2191634.5
ninja,2.4545454545454546,14013199.986363636
other,7.111111111111111,13522949.364373898
pagode baiano,1.3333333333333333,5925788.0
pop,47.5,19033790.91291367
pop punk,1.5,18873307.5
pop rap,73.38888888888889,12963656.541747048
pop rock,2.3333333333333335,15452681.38888889
psychedelic rock,1.0,12927022.0
punk,1.0,1626760.0
r&b,19.272727272727273,13247489.028179424
rap,92.57142857142857,12907452.61221291
rap rock,3.0,11698469.333333336
reggae,1.0,37808144.0
reggaeton,38.166666666666664,11625082.294233091
rock,3.3333333333333335,8876528.527777778
soul,7.6,9916461.113333333
techno,1.0,24138750.0
trance,1.5,1615176.0
trap,74.5,15165009.656018518
tropical,4.0,4992158.75
urban contemporary,4.0,3266973.0
