source,weight,avg_streams,country
adult standards,1.8,767828.9833333334,de
blues rock,1.75,1400523.0,de
brazilian funk,1.3333333333333333,2880574.0,de
chanson,1.0,2835158.0,de
classic rock,1.4285714285714286,3842972.5714285714,de
classical,1.0,802918.0,de
country,2.0,7819097.797619048,de
country rap,1.2,1074278.4,de
dance,8.172413793103448,8704831.23482363,de
dance pop,15.521739130434783,4731869.370197663,de
dancehall,2.25,723660.1875,de
deep pop r&b,1.0,1095342.0,de
disco,1.0,358416.0,de
disco house,3.75,2938893.666666666,de
drill,1.0,351525.0,de
dubstep,3.263157894736842,6433436.331578948,de
easy listening,1.25,709211.375,de
electro,13.40625,7228787.365962076,de
electro house,5.137931034482759,8107285.927586207,de
electropop,7.153846153846154,4988464.178739316,de
emo,3.0,10540470.1875,de
escape room,1.0,2430010.0,de
europop,3.4285714285714284,4350117.123809524,de
experimental,1.25,7099572.0,de
folk,4.5,3125044.0833333335,de
folk rock,1.5,2262108.0,de
francoton,3.0,2851716.2,de
funk,2.2,2466564.066666667,de
grime,3.2,1307767.4,de
hip hop,53.77777777777778,4841066.699149511,de
house,6.086956521739131,9434681.690926826,de
indie,3.6,3389326.375,de
indie pop,2.8181818181818183,3977337.203030303,de
indie pop rap,2.25,2111389.125,de
indie r&b,1.0,1095342.0,de
indie rock,2.0,698976.25,de
indietronica,2.5,5572112.833333334,de
jazz,1.2,539104.4,de
k-hop,1.0,506472.0,de
k-pop,2.0,1526552.0,de
latin,12.666666666666666,10920299.256245144,de
lounge,1.3333333333333333,676105.0555555556,de
mellow gold,1.0,7099572.0,de
metal,4.0,2713674.0,de
moombahton,2.6666666666666665,5127962.577777778,de
ninja,2.4285714285714284,5857849.885714286,de
other,5.909090909090909,2466790.921625344,de
pagode baiano,1.3333333333333333,2880574.0,de
pop,32.34782608695652,5494353.7128101755,de
pop house,1.0,10837763.0,de
pop punk,2.0,11621761.0,de
pop rap,17.933333333333334,4130908.886832427,de
pop rock,1.0,3980373.3333333335,de
psychedelic rock,1.0,7099572.0,de
r&b,4.5,2395540.596060606,de
rai,2.5,9887781.5,de
rap,31.90909090909091,4252498.413582251,de
rap rock,2.0,655377.0,de
reggae,2.0,12936472.833333332,de
reggaeton,10.4,12173636.583333332,de
rock,2.75,2829371.3125,de
soul,3.0,2977124.8333333335,de
trance,2.0,881319.75,de
trap,14.0,4339811.899425287,de
tropical,2.3333333333333335,20575777.0,de
