source,weight,avg_streams,country
adult standards,1.7777777777777777,14197468.527777778,global
afrobeat,1.5,12651284.0,global
afrofuturism,1.4,46174772.0,global
afropop,2.3333333333333335,10234504.5,global
azonto,1.1666666666666667,11457783.0,global
bachata,3.375,90144139.6375,global
blues,1.5,12651284.0,global
blues rock,1.75,5120047.0,global
brazilian funk,5.111111111111111,21344071.928791888,global
brega funk,1.0,12108771.0,global
celtic,1.0,30103466.0,global
classic rock,1.5714285714285714,34003299.928571425,global
classical,1.0,7362398.0,global
country,3.227272727272727,84340284.56247085,global
country pop,1.5,57552911.5,global
country rap,1.5714285714285714,33167461.64285714,global
county rock,1.6666666666666667,47179504.40740741,global
cumbia,2.0,45412178.0,global
dance,8.25,68637108.16433218,global
dance pop,18.854166666666668,56391296.77948641,global
dancehall,3.2142857142857144,15002509.36989796,global
deep pop r&b,1.2857142857142858,13215405.214285715,global
dembow,1.3636363636363635,92639967.0,global
disco house,4.5,16062965.104166668,global
dubstep,3.263157894736842,149269458.69298247,global
easy listening,1.0,14626135.666666666,global
electro,14.375,66176924.447323255,global
electro house,5.464285714285714,104212658.66815476,global
electropop,9.296296296296296,85917487.33728611,global
emo,2.2857142857142856,70658936.67857143,global
escape room,1.0,20524688.2,global
europop,5.333333333333333,50869928.666666664,global
experimental,1.25,49354731.0,global
folk,1.0,279512796.5,global
folk rock,1.0,49354731.0,global
forro,1.0,4116188.0,global
francoton,1.0,17427072.0,global
funk,2.2,19980584.4,global
gospel,1.0,11183853.0,global
grime,4.0,18856563.647619046,global
hip hop,55.411764705882355,40811506.81152997,global
house,6.28,75566089.25753763,global
indie,3.2,30260037.05,global
indie pop,3.4615384615384617,63297928.53083028,global
indie pop rap,2.5,10012629.708333334,global
indie r&b,1.25,15866836.75,global
indie rock,3.2,26640269.06666667,global
indietronica,2.5714285714285716,23131510.664285716,global
jazz,1.3333333333333333,19916542.0,global
k-hop,1.0,7262540.333333333,global
k-pop,2.5555555555555554,16225128.287037037,global
latin,88.26315789473684,102519439.9846462,global
lounge,1.0,14852884.666666666,global
mellow gold,1.0,49354731.0,global
metal,4.0,94706093.5,global
moombahton,3.6153846153846154,90894787.95192307,global
new wave,1.25,114447246.25,global
ninja,2.909090909090909,95160312.67045455,global
other,6.666666666666667,65691856.89986772,global
pagode,1.0,24210969.0,global
pagode baiano,3.375,29572169.033333335,global
pop,52.80769230769231,74687166.43143168,global
pop house,1.0,97374626.0,global
pop punk,1.5,62974730.0,global
pop rap,31.263157894736842,52657102.20048379,global
pop rock,2.4,88184951.7,global
psychedelic rock,1.0,49354731.0,global
punk,1.0,188312168.0,global
r&b,13.916666666666666,52100370.02335504,global
rai,1.0,10267614.0,global
rap,45.266666666666666,42100331.76536498,global
rap rock,3.0,27460420.66666667,global
reggae,1.6666666666666667,247989853.0,global
reggaeton,92.25,74890148.44041803,global
rock,3.75,58571709.0,global
salsa,2.0,45412178.0,global
soul,4.833333333333333,26666971.777777772,global
techno,1.0,63821520.0,global
trance,1.5,66291185.5,global
trap,57.75,74105671.19651666,global
tropical,12.666666666666666,90252922.7121212,global
tropical house,9.333333333333334,77338254.79444446,global
urban contemporary,1.0,6818858.0,global
