source,weight,avg_streams,country
anime,2.0,7201031.416666667,jp
classic rock,1.3333333333333333,401256.6666666667,jp
country,2.3846153846153846,1465333.5897435897,jp
country pop,1.2857142857142858,777234.0,jp
county rock,1.2857142857142858,777234.0,jp
dance,3.1666666666666665,644123.9992063493,jp
dance pop,10.225,609719.4797599468,jp
dancehall,1.0,91181.0,jp
deep pop r&b,1.0,179470.0,jp
dubstep,2.7333333333333334,1646298.7,jp
electro,5.566666666666666,569805.7333862433,jp
electro house,2.6153846153846154,1223536.0833333333,jp
electropop,5.7407407407407405,1283560.259513435,jp
emo,2.4285714285714284,1444247.3095238097,jp
escape room,1.0,549863.0,jp
europop,2.6666666666666665,173766.0,jp
experimental,1.25,303575.0,jp
folk rock,1.0,303575.0,jp
funk,1.5,2966953.75,jp
grime,2.0,89316.5,jp
hip hop,10.357142857142858,213199.19464285715,jp
house,3.0,412593.7867647059,jp
indie pop,2.1818181818181817,1973916.1038961038,jp
indie r&b,1.0,179470.0,jp
indie rock,1.3333333333333333,393785.3333333333,jp
indietronica,1.6666666666666667,1386301.361111111,jp
j-dance,2.0,137431.0,jp
j-division,2.0,422980.5,jp
j-pop,2.888888888888889,1386852.0185185187,jp
j-rap,2.5714285714285716,388862.85714285716,jp
j-rock,2.0,2245963.25,jp
k-hop,1.0,213902.0,jp
k-pop,2.375,425424.01785714284,jp
jpop,9.0,279901.7708333333,jp
mellow gold,1.0,303575.0,jp
moombahton,1.8888888888888888,198376.0,jp
new wave,1.0,1907812.3333333333,jp
ninja,1.4285714285714286,230311.7142857143,jp
other,3.4444444444444446,456532.56125356123,jp
pop,22.31578947368421,821091.0705642995,jp
pop punk,2.0,576738.5,jp
pop rap,7.785714285714286,290490.6475211297,jp
pop rock,2.0,328834.33333333326,jp
psychedelic rock,1.0,303575.0,jp
punk,1.0,889665.0,jp
r&b,4.625,424171.27638888883,jp
rap,7.571428571428571,335448.0782312925,jp
reggae,1.0,273843.0,jp
reggaeton,8.666666666666666,163591.55555555556,jp
rock,2.5,500678.8333333334,jp
soul,2.0,140538.75,jp
techno,1.0,446144.0,jp
trance,2.0,73274.0,jp
trap,2.6,155004.86666666667,jp
