,source,weight,avg_streams
5,country,3.347826086956522,32444614.379503105
21,dance pop,14.46808510638298,12747065.850299496
10,drill,3.8181818181818175,2156621.653679653
2,dubstep,3.0384615384615383,21695612.466025643
19,electro,7.67741935483871,11095813.51020619
11,electro house,3.870967741935484,20820501.6191733
20,electropop,8.038461538461538,21167585.292778056
15,escape room,4.090909090909091,4377511.616666666
28,hip hop,87.90625,9260181.531694002
9,house,3.809523809523809,12239426.94077272
8,indie,3.7142857142857135,7336139.059523809
6,indie pop,3.583333333333333,24760579.49107143
14,indie pop rap,4.0,9391342.066666666
7,indie rock,3.6,9936509.283333335
23,latin,29.8125,14117593.842238177
0,metal,3.0,22862690.0
3,moombahton,3.230769230769231,12909557.21923077
17,other,7.111111111111111,13522949.364373898
25,pop,47.5,19033790.91291367
26,pop rap,73.38888888888889,12963656.541747048
22,r&b,19.272727272727277,13247489.028179424
29,rap,92.57142857142856,12907452.61221291
1,rap rock,3.0,11698469.333333336
24,reggaeton,38.16666666666666,11625082.294233091
4,rock,3.333333333333333,8876528.527777778
18,soul,7.6,9916461.113333331
27,trap,74.5,15165009.656018518
13,tropical,4.0,4992158.75
16,tropical house,5.333333333333333,19278860.4
12,urban contemporary,4.0,3266973.0
